,Team,Name,K,D,A,FK,FD,Rounds Played,Round Wins,Round Losses,Maps played,Maps Won,Maps Lost
0,SEN,ShahZaM,16,15,5,3,1,69,36,33,3,2,1
1,SEN,SicK,12,21,7,0,2,69,36,33,3,2,1
2,SEN,TenZ,18,14,5,2,7,69,36,33,3,2,1
3,SEN,dapr,20,18,1,3,2,69,36,33,3,2,1
4,SEN,zombs,15,16,10,1,2,69,36,33,3,2,1
5,NRG,ANDROID,19,14,7,1,0,69,33,36,3,1,2
6,NRG,eeiu,14,14,8,1,1,69,33,36,3,1,2
7,NRG,hazed,15,15,7,3,3,69,33,36,3,1,2
8,NRG,s0m,18,18,3,4,5,69,33,36,3,1,2
9,NRG,tex,18,20,5,5,0,69,33,36,3,1,2
