,Team,Name,K,D,A,FK,FD,Rounds Played,Round Wins,Round Losses,Maps played,Maps Won,Maps Lost
0,Rise,supamen,15,12,8,2,1,38,12,26,2,0,2
1,Rise,neptune,10,15,7,3,2,38,12,26,2,0,2
2,Rise,Derrek,10,11,1,2,0,38,12,26,2,0,2
3,Rise,Shanks,9,17,3,3,4,38,12,26,2,0,2
4,Rise,POISED,7,16,2,0,2,38,12,26,2,0,2
5,V1,penny,17,11,6,1,0,38,26,12,2,2,0
6,V1,effys,19,10,5,0,0,38,26,12,2,2,0
7,V1,zander,16,10,5,3,4,38,26,12,2,2,0
8,V1,Zellsis,14,8,4,4,2,38,26,12,2,2,0
9,V1,wippie,5,12,4,1,4,38,26,12,2,2,0
